COD_MOD,LIB_MOD
_Z,Non applicable
CONTAMIN_MOD1,Rapports sexuels entre hommes
CONTAMIN_MOD2,Hétérosexuels
CONTAMIN_MOD3,Injection intraveineuse
CONTAMIN_MOD4,Autres 
ALCOOL_CONS1,Au moins une fois dans l’année
SESC1,Statut socio-économique très défavorisé
ALCOOL_CONS2,Tous les jours de l’année
SESC2,Statut socio-économique défavorisé
ALCOOL_CONS3,Au moins une alcoolisation ponctuelle importante (API) au cours des 12 derniers mois
SESC3,Statut socio-économique favorisé
ALCOOL_CONS4,Au moins une ivresse au cours des 12 derniers mois
SESC4,Statut socio-économique très favorisé
NUM_COMP1,Faibles compétences numériques générales
NUM_COMP2,Compétences numériques générales de base
NUM_COMP3,Compétences numériques générales plus avancées
NUM_COMP4,Personnes n’ayant pas utilisé Internet au cours des 3 derniers mois ou sans aucune compétence
OBJ_SOCECO5,Exploration et exploitation de l’espace
ROUTE_TYP1,Autoroutes
ROUTE_TYP2,Routes hors agglomération
OBJ_SOCECO6,Environnement
ROUTE_TYP3,Routes en agglomération
OBJ_SOCECO3,Énergie
NIVIEMED_S20,Seuil à 20 % du niveau de vie médian
OBJ_SOCECO8,Agriculture
OBJ_SOCECO7,Exploration et exploitation du milieu terrestre
OBJ_SOCECO4,"Transports, télécommunications et autres infrastructures"
OBJ_SOCECO2,Production et technologies industrielles
OBJ_SOCECO1,Santé
ECO_SECT2,Transport
ECO_SECT4-5,Résidentiel-Tertiaire
ECO_SECT13,Industrie manufacturière et construction 
ECO_SECT12,Industrie de l'énergie
ECO_SECT3,Agriculture
ECO_SECT6,Traitement centralisé des déchets
VIOLENCE_TYP1,Violences physiques
VIOLENCE_TYP2,Violences sexuelles
DIPL_NIV1,Aucun diplôme ou inférieur au Baccalauréat
VIOLENCE_TYP3,Violences commises par le conjoint ou ex-conjoint
VIOLENCE_TYP4,Violences commises dans le cercle familial hors conjoint ou ex-conjoint
3_X_353,Baccalauréat
VIOLENCE_TYP5,Violences commises hors de la sphère intrafamiliale
4T8,Diplôme supérieur au baccalauréat
INSTIT1,Armée
INSTIT2,Police
INSTIT3,Justice
INSTIT4,École
INSTIT5,Hôpital
51.21,Transports aériens de fret
85.51,Enseignement de disciplines sportives et d'activités de loisirs
93.12,Activités de clubs de sports
93.19,Autres activités liées au sport
43.91A,Travaux de charpente
43.91B,Travaux de couverture par éléments
49.42,Services de déménagement
02.40,Services de soutien à l'exploitation forestière
88.10C,Aide par le travail
81.30,Services d'aménagement paysager
NIVIEMED_S60,Seuil à 60 % du niveau de vie médian
EMP_AIDE1,Apprentissage
EMP_AIDE2,Formations en alternance (hors apprentissage)
EMP_AIDE3,Contrats aidés du secteur marchand
EMP_AIDE4,Contrats aidés du secteur non marchand
APD_ZONEGEO1,Afrique
APD_ZONEGEO2,Afrique subsaharienne
NIVIEMED_S50,Seuil à 50 % du niveau de vie médian
APD_ZONEGEO3,Asie
APD_CAD100,Infrastructure et Services sociaux 
APD_CAD110,Éducation  
APD_CAD122,Santé de base
APD_CAD140,Distribution d'eau et Assainissement
APD_CAD230,Énergie
APD_CAD311,Agriculture
APD_CAD410,Protection de l'environnement
APD_MARQUEUR1,Marqueur genre (égalité homme-femme et des droits des femmes)
APD_MARQUEUR2,Marqueur biodiversité
APD_MARQUEUR3,Marqueur mitigation changement climatique
APD_MARQUEUR4,Marqueur adaptation changement climatique
