COD_MOD,LIB_MOD
3.i2,Nombre de découvertes de séropositivité VIH
5.i4a,Nombre de victimes de violences sexuelles hors violences intrafamiliales
5.i3b,Part des femmes parmi les victimes de violences intrafamiliales physiques et/ou sexuelles
5.i4b,Part des femmes parmi les victimes de violences sexuelles hors violences intrafamiliales
4.i2,Taux de participation à une formation formelle et non formelle
4.i1a,Proportion d’enfants en CM1 qui maîtrisent au moins les normes d’aptitude minimale en lecture
4.i1b,Proportion d’enfants en CM1 qui maîtrisent au moins les normes d’aptitude minimale en mathématiques
4.i1c,Proportion de jeunes de 15 ans qui maîtrisent au moins les normes d'aptitudes minimales en lecture
3.i3,Taux standardisé de décès pour cause de suicide
3.i5,Proportion de la population répartie selon différents modes de consommation d’alcool
3.i6,Personnes tuées par accident de la route
4.i1d,Proportion de jeunes de 15 ans qui maîtrisent au moins les normes d'aptitudes minimales en mathématiques
4.i3,Proportion de la population répartie selon le niveau de compétences numériques 
9.i6c,Montant des crédits budgétaires publics de R&D par objectif socio-économique 
9.i6b,Montant des crédits budgétaires publics de R&D civils (hors Défense)
9.i4,Personnel de recherche
3.i7a,Renoncement aux soins pour raisons financières - besoins non satisfaits d’examen ou de traitement médical
9.i6a,Montant des crédits budgétaires publics de R&D
3.i7b,Renoncement aux soins pour raisons financières - besoins non satisfaits de traitement dentaire
3.i8,Prévalence du tabagisme quotidien
9.i2,Taux d'acceptation des demandes de crédit des très petites entreprises (TPE)
13.i4c,Émissions de gaz à effet de serre (hors UTCATF) par habitant - Ensemble des gaz à effet de serre 
13.i4b,Émissions de gaz à effet de serre (hors UTCATF) par secteur de l’économie - Ensemble des gaz à effet de serre 
16.i1,Nombre d’homicides
16.i2,Proportion de personnes se déclarant victimes de violences physiques et/ou sexuelles
16.i3,Proportion des personnes prévenues parmi les détenus
16.i4,Proportion de personnes déclarant avoir confiance dans certaines institutions
2.i1,Renoncement à consommer des protéines pour raisons financières
8.i5,Nombre d’accidents du travail par million d’heures travaillées
2.i2a,Prévalence du surpoids chez les adultes
2.i2b,Prévalence de l'obésité chez les adultes
2.i2e,Prévalence du surpoids chez les enfants en grande section de maternelle selon la PCS des parents
2.i2c,Prévalence du surpoids chez les adolescents en troisième selon la PCS des parents
2.i2f,Prévalence de l'obésité chez les enfants en grande section de maternelle selon la PCS des parents
2.i2d,Prévalence de l'obésité chez les adolescents en troisième selon la PCS des parents
8.i6,Intensité du travail
1.i1a,Taux de pauvreté monétaire - Seuil à 60% du niveau de vie médian
8.i8,Part des emplois aidés dans l'emploi des jeunes de moins de 26 ans
8.i1,Taux de croissance annuelle du PIB réel par habitant
8.i3,Taux de sous emploi
8.i4,"Proportion de jeunes ne travaillant pas et ne suivant ni études, ni formation"
8.i7,Proportion d'adultes possédant un compte dans une banque ou dans une autre institution financière ou faisant appel à des services monétaires mobiles
