COD_MOD,LIB_MOD
ODD3,Objectif 3 : Santé et bien-être
ODD5,Objectif 5 : Égalité entre les sexes
ODD4,Objectif 4 : Éducation de qualité
ODD9,Objectif 9 : Infrastructures résilientes et innovation
ODD13,Objectif 13 : Lutte contre les changements climatiques
ODD16,"Objectif 16 : Paix, justice et institutions efficaces"
ODD2,Objectif 2 : Sécurité alimentaire et agriculture durable
ODD8,Objectif 8 : Travail décent et croissance durable
ODD1,Objectif 1 : Éradication de la pauvreté
ODD7,Objectif 7 : Énergies propres et d'un coût abordable
ODD11,Objectif 11 : Villes et communautés durables
ODD17,Objectif 17 : Partenariats pour la réalisation des objectifs
ODD10,Objectif 10 : Réduction des inégalités
ODD6,Objectif 6 : Gestion durable de l'eau pour tous
ODD12,Objectif 12 : Consommation et production responsables
ODD14,Objectif 14 : Vie aquatique marine
ODD15,Objectif 15 : Vie terrestre
